Nome: d, Idade: 3, Data: 2015_6_29_18_46_35
button, timeStamp, view
B,1.174,1
Next,1.46,1
B,2.183,2
Next,2.49,2
B,3.341,3
Next,3.615,3
B,4.19,4
Next,4.536,4
C,5.136,5
Next,5.532,5
B,6.08,6
Next,6.33,6
A,6.876,7
Next,7.219,7
A,7.792,8
Next,8.126,8
C,8.992,9
Next,9.504,9
B,10.139,10
Next,10.512,10
B,11.013,11
Next,11.397,11
B,11.975,12
Next,12.292,12
A,12.883,13
Next,13.269,13
B,13.78,14
Next,14.154,14
B,14.71,15
Next,15.216,15
B,15.716,16
Next,16.048,16
A,16.488,17
Next,16.964,17
B,17.557,18
Next,17.868,18
B,18.445,19
A,19.077,19
Next,19.43,19
B,20.001,20
