Nome: Asd, Idade: 19, Data: 2015_6_29_22_11_27
button, timeStamp, view
B,5.121,1
Next,7.42,1
Next,7.637,2
Next,7.807,3
Next,8.052,4
Next,8.216,5
Next,8.358,6
Next,8.621,7
Next,8.796,8
Next,8.975,9
Next,9.132,10
B,9.827,11
Back,10.34,11
Back,10.559,10
Back,10.714,9
C,11.488,8
B,12.18,8
Back,12.737,8
Back,13.054,7
B,13.788,6
Back,14.17,6
Back,14.36,5
Back,14.581,4
A,15.352,3
Back,15.889,3
Back,16.065,2
Next,17.091,1
B,17.795,2
Next,18.176,2
Next,18.355,3
Next,18.853,4
A,20.55,5
Back,20.875,5
Back,21.399,4
Next,22.114,3
B,23.211,4
Next,23.434,4
Next,23.658,5
Next,23.832,6
Next,24.014,7
Next,24.175,8
Next,24.36,9
B,25.071,10
Next,25.574,10
Next,25.75,11
Next,25.921,12
Next,26.115,13
Next,26.272,14
Next,26.448,15
B,27.303,16
Next,28.288,16
Next,28.526,17
A,29.441,18
Next,29.853,18
Next,30.4,19
C,31.811,20
Back,33.846,20
Back,34.283,19
Back,34.436,18
Next,35.206,17
Next,35.883,18
Back,36.55,19
Next,37.096,18
B,37.921,19
Back,38.978,19
Back,40.016,18
Back,40.667,17
Next,41.15,16
B,41.957,17
Back,42.292,17
Back,42.46,16
A,43.609,15
C,44.703,15
B,45.161,15
A,45.568,15
B,46.29,15
C,46.518,15
B,49.047,15
Back,49.798,15
B,50.609,14
Back,51.406,14
Back,52.052,13
B,52.932,12
Back,53.473,12
Back,54.393,11
Back,54.944,10
Back,55.464,9
Next,56.277,8
B,58.301,9
Back,58.851,9
Back,59.353,8
Back,59.866,7
Next,60.621,6
A,61.761,7
Back,62.723,7
A,64.534,6
Back,65.03,6
Back,66.662,5
Back,69.402,4
Next,70.117,3
Next,70.288,4
Next,70.453,5
Next,70.617,6
Next,70.796,7
Next,70.968,8
Next,71.151,9
Next,71.427,10
Next,71.641,11
Next,71.858,12
Next,72.02,13
Next,72.19,14
Next,72.387,15
Next,72.615,16
Next,72.787,17
Next,73.03,18
Next,73.266,19
Back,75.194,20
Back,75.743,19
Back,76.245,18
Back,76.747,17
Back,77.253,16
Back,77.809,15
Back,78.268,14
Back,78.805,13
Next,79.516,12
B,80.421,13
Next,80.839,13
Next,81.017,14
Next,81.181,15
Next,81.347,16
Next,81.511,17
Next,81.661,18
Next,82.039,19
