Nome: Aluno5, Idade: 15, Data: 2015_6_29_22_44_54
button, timeStamp, view
B,1.315,1
Next,1.555,1
B,2.169,2
Next,2.432,2
A,3.078,3
Next,3.355,3
B,3.933,4
Next,4.204,4
B,4.752,5
Next,5.013,5
B,5.539,6
Next,5.77,6
A,6.294,7
Next,6.566,7
B,7.113,8
Next,7.31,8
A,7.869,9
Next,8.232,9
B,8.811,10
Next,9.094,10
B,9.695,11
Next,9.96,11
A,10.504,12
Next,10.741,12
B,11.281,13
Next,11.492,13
B,11.982,14
Next,12.201,14
B,12.759,15
Next,13.038,15
C,13.46,16
Next,13.733,16
A,14.542,17
Next,14.839,17
B,15.301,18
Next,15.539,18
A,16.063,19
Next,16.313,19
A,16.774,20
