Nome: Aluno1, Idade: 13, Data: 2015_6_29_22_35_49
button, timeStamp, view
Next,1.059,1
Next,1.214,2
Next,1.373,3
B,1.941,4
Next,2.319,4
B,2.985,5
A,3.446,5
Back,4.199,5
Back,4.473,4
Back,5.074,3
B,5.92,2
Back,6.376,2
B,7.034,1
Next,7.56,1
Next,7.811,2
A,8.69,3
Next,9.046,3
Next,9.363,4
Next,9.649,5
Next,9.809,6
Next,9.934,7
Next,10.106,8
B,10.809,9
Back,11.107,9
Back,11.267,8
Back,11.542,7
Back,11.726,6
Back,12.253,5
Next,12.782,4
Next,12.974,5
Back,13.892,6
Back,14.047,5
A,14.99,4
Next,15.655,4
A,16.431,5
Next,17.275,5
B,17.945,6
A,18.344,6
Next,18.784,6
B,19.536,7
Next,19.849,7
Next,20.009,8
Next,20.188,9
Next,20.382,10
Next,20.523,11
B,21.107,12
Back,21.393,12
Back,21.574,11
B,22.387,10
Next,22.634,10
Next,22.865,11
Next,23.018,12
Next,23.199,13
Next,23.335,14
Next,23.515,15
Next,23.646,16
B,24.323,17
Next,24.769,17
Next,25.317,18
B,25.963,19
Next,26.236,19
B,26.919,20
Back,27.263,20
Back,27.423,19
Back,27.592,18
Back,27.755,17
Back,27.934,16
Back,28.084,15
Back,28.27,14
A,28.95,13
Back,29.364,13
Back,29.903,12
Next,30.536,11
Back,30.994,12
B,31.592,11
Back,31.906,11
Back,32.123,10
Back,32.787,9
Next,33.14,8
Next,33.304,9
Back,33.828,10
Back,33.995,9
Back,34.167,8
Back,34.839,7
Back,35.525,6
Back,36.169,5
Next,36.705,4
Next,36.88,5
Next,37.045,6
Next,37.584,7
Next,38.041,8
Back,38.611,9
A,39.255,8
Next,39.714,8
Next,40.401,9
Next,40.982,10
Next,41.357,11
Next,42.024,12
B,43.873,13
Next,44.472,13
B,45.624,14
Next,46.104,14
B,47.154,15
Next,47.683,15
B,48.794,16
Next,49.341,16
Next,50.501,17
B,52.006,18
Next,52.363,18
Next,53.486,19
