Nome: Aluno4, Idade: 12, Data: 2015_6_29_22_44_3
button, timeStamp, view
B,0.91,1
Next,1.213,1
Next,1.826,2
Next,1.972,3
Next,2.154,4
Next,2.331,5
Next,2.485,6
Next,2.624,7
A,3.295,8
Back,3.566,8
Back,3.943,7
C,4.753,6
Back,5.044,6
Back,5.239,5
Back,5.384,4
A,6.05,3
Next,6.273,3
Next,6.428,4
C,7.013,5
Next,7.506,5
A,8.184,6
Next,8.413,6
A,9.454,7
Next,9.661,7
Next,9.84,8
Next,9.955,9
Next,10.103,10
A,10.559,11
Next,10.822,11
A,11.444,12
Next,11.774,12
C,12.506,13
Next,12.79,13
B,13.383,14
Next,13.685,14
A,14.323,15
Next,14.606,15
A,15.216,16
Next,15.516,16
Next,16.143,17
B,16.754,18
Back,17.056,18
Back,17.593,17
Back,17.751,16
Back,17.886,15
Back,18.018,14
Back,18.148,13
Back,18.364,12
Back,18.546,11
Back,18.718,10
Back,18.882,9
Back,19.076,8
Back,19.735,7
Back,20.384,6
Back,21.095,5
Back,21.726,4
Back,22.624,3
B,23.434,2
Next,23.696,2
Next,24.921,3
B,25.591,4
Next,25.731,4
Next,25.918,5
Next,26.54,6
Next,27.055,7
Next,27.625,8
Next,28.115,9
Back,28.76,10
B,29.324,9
Next,29.559,9
A,30.169,10
Next,30.37,10
B,30.975,11
Next,31.506,11
Next,31.671,12
Next,31.84,13
Next,31.988,14
Next,32.153,15
Next,33.017,16
Next,33.618,17
Back,34.093,18
A,34.652,17
Next,35.002,17
Next,35.785,18
Next,36.301,19
Back,36.976,20
B,37.655,19
Next,37.983,19
A,38.91,20
