Nome: Aluno2, Idade: 14, Data: 2015_6_29_22_36_57
button, timeStamp, view
B,1.735,1
Next,2.9,1
B,4.183,2
Next,4.52,2
B,6.038,3
Next,7.784,3
Next,8.121,4
Next,8.309,5
A,9.733,6
Next,10.268,6
A,11.489,7
Back,12.069,7
Back,12.683,6
A,13.444,5
Back,13.823,5
B,15.097,4
Back,15.507,4
Next,16.404,3
Next,16.567,4
Next,16.708,5
Next,16.84,6
Next,17.551,7
Next,17.704,8
Next,17.881,9
Next,18.032,10
B,18.628,11
Back,19.108,11
B,19.805,10
Back,20.057,10
Back,20.244,9
B,21.012,8
Back,21.209,8
Back,21.391,7
Back,21.525,6
Next,22.432,5
Next,22.925,6
Next,23.362,7
Next,23.799,8
Next,24.339,9
Back,24.805,10
B,25.348,9
Next,25.598,9
Next,25.795,10
Next,26.326,11
Next,26.589,12
A,27.315,13
Next,27.602,13
B,28.231,14
Next,28.471,14
Next,28.678,15
B,29.28,16
Next,29.553,16
Next,30.014,17
Next,30.189,18
Next,30.342,19
B,30.997,20
Back,31.228,20
Back,31.391,19
Back,31.557,18
B,32.256,17
Back,32.54,17
Back,33.279,16
Back,33.701,15
Next,34.258,14
B,34.78,15
Next,35.263,15
Next,35.443,16
Next,35.596,17
Next,35.768,18
Next,35.911,19
Back,37.234,20
Back,37.805,19
Next,38.329,18
Back,38.723,19
Back,38.907,18
Next,39.629,17
B,40.376,18
Next,40.77,18
B,41.469,19
Next,41.779,19
Back,42.934,20
Back,43.115,19
Back,43.284,18
Back,43.429,17
Back,43.57,16
Back,44.193,15
Back,44.623,14
Back,45.068,13
Back,45.538,12
Next,46.58,11
C,47.25,12
Next,47.454,12
Next,47.635,13
Next,47.799,14
Next,47.923,15
Next,48.065,16
Next,48.213,17
Next,48.362,18
Next,48.461,19
